title;artist;genre;duration_min
MOJABI GHOST;Tainy;pop;3.87
Ahora Te Puedes Marchar;Luis Miguel;pop;3.2
Rosa Pastel;Belanova;pop;3.1
Borro Cassette;Maluma;pop;3.46
Oye Mi Amor;Maná;pop;4.39
LUNA;Feid;pop;3.28
Soltera;Shakira;pop;3.58
Corazón partío;Alejandro Sanz;pop;5.72
Die With A Smile;Lady Gaga;pop;4.19
Amiga mía;Alejandro Sanz;pop;4.85
Tiroteo - Remix;Marc Seguí;pop;5.36
Dueles;Jesse & Joy;pop;4.13
En algún lugar;Duncan Dhu;pop;3.93
Mónaco;LAGOS;pop;3.21
Desenfocao';Rauw Alejandro;pop;2.84
Me Dediqué a Perderte;Alejandro Fernández;pop;3.86
Dile;Don Omar;pop;3.41
Antologia;Shakira;pop;4.24
Ciega, Sordomuda;Shakira;pop;4.46
BIRDS OF A FEATHER;Billie Eilish;pop;3.51
Lamento Boliviano;Los Enanitos Verdes;rock;3.7
Creep;Radiohead;rock;3.98
Viento;Caifanes;rock;3.94
Every Breath You Take;The Police;rock;4.23
Eres;Café Tacvba;rock;4.46
Soñé - En Vivo;Zoé;rock;3.78
Labios Rotos - En Vivo Desde México / 2010;Zoé;rock;4.05
La Célula Que Explota;Caifanes;rock;3.6
Afuera;Caifanes;rock;4.81
Oye Mi Amor;Maná;rock;4.39
Luna - En Vivo;Zoé;rock;4.67
Locos;León Larregui;rock;2.96
Brillas;León Larregui;rock;3.77
Arrullo De Estrellas;Zoé;rock;4.21
Hasta la Raíz;Natalia Lafourcade;rock;3.7
En algún lugar;Duncan Dhu;rock;3.93
No Dejes Que...;Caifanes;rock;4.65
Devuélveme a mi chica;Hombres G;rock;3.23
Así Es la Vida;Elefante;rock;5.17
Es Por Ti;Juanes;rock;4.18
Shorty Party;Cartel De Santa;hip-hop;4.42
Not Like Us;Kendrick Lamar;hip-hop;4.57
A Mí;Rels B;hip-hop;3.49
Virtual Diva;Don Omar;hip-hop;3.99
Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap;hip-hop;3.32
Todas Mueren por Mí;Cartel De Santa;hip-hop;3.72
Ella Y Yo - Featuring Don Omar;Aventura;hip-hop;4.46
Feel Good Inc.;Gorillaz;hip-hop;3.71
Éxtasis;Millonario & W. Corona;hip-hop;4.82
Salió El Sol;Don Omar;hip-hop;5.25
Burbujas de Cristal;Cartel De Santa;hip-hop;3.74
cómo dormiste?;Rels B;hip-hop;1.88
lo que hay x aquí;Rels B;hip-hop;2.58
Dile;Don Omar;hip-hop;3.41
Los Infieles;Aventura;hip-hop;4.29
