title;director;duration;listed_in;rating;times_rated;duration_category
Sankofa;Haile Gerima;125.0;Drama, International;9.42;277.0;Medium Duration
The Starling;Theodore Melfi;104.0;Comedy, Drama;9.5;155.0;Medium Duration
Je Suis Karl;Christian Schwochow;127.0;Drama, International;8.07;162.0;Medium Duration
Confessions of an Invisible Girl;Bruno Garotti;91.0;Comedy;8.95;385.0;Medium Duration
Europe's Most Dangerous Man: Otto Skorzeny in Spain;Pedro de Echave García, Pablo Azorín Williams;67.0;International;8.65;211.0;Low Duration
Intrusion;Adam Salky;94.0;Thriller;8.58;357.0;Medium Duration
Avvai Shanmughi;K.S. Ravikumar;161.0;Comedy, International;9.92;396.0;High Duration
Jeans;S. Shankar;166.0;Comedy, International, Romantic;8.64;207.0;High Duration
Minsara Kanavu;Rajiv Menon;147.0;Comedy, International;8.63;353.0;High Duration
Grown Ups;Dennis Dugan;103.0;Comedy;9.52;316.0;Medium Duration
Dark Skies;Scott Stewart;97.0;Horror, Sci-Fi & Fantasy;8.95;256.0;Medium Duration
Paranoia;Robert Luketic;106.0;Thriller;9.05;292.0;Medium Duration
Ankahi Kahaniya;Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary;111.0;Drama, International;8.93;251.0;Medium Duration
The Father Who Moves Mountains;Daniel Sandu;110.0;Drama, International, Thriller;8.28;342.0;Medium Duration
The Stronghold;Cédric Jimenez;105.0;Action & Adventure, Drama, International;8.26;221.0;Medium Duration
Birth of the Dragon;George Nolfi;96.0;Action & Adventure, Drama;8.92;270.0;Medium Duration
Jaws;Steven Spielberg;124.0;Action & Adventure, Drama;9.74;340.0;Medium Duration
Jaws 2;Jeannot Szwarc;116.0;Drama, Horror, Thriller;8.4;347.0;Medium Duration
Jaws 3;Joe Alves;98.0;Action & Adventure, Horror, Thriller;9.71;263.0;Medium Duration
Jaws: The Revenge;Joseph Sargent;91.0;Action & Adventure, Horror, Thriller;8.98;293.0;Medium Duration
Safe House;Daniel Espinosa;115.0;Action & Adventure;8.78;193.0;Medium Duration
Training Day;Antoine Fuqua;122.0;Drama, Thriller;9.6;261.0;Medium Duration
InuYasha the Movie 2: The Castle Beyond the Looking Glass;Toshiya Shinohara;99.0;Action & Adventure, International;9.39;216.0;Medium Duration
InuYasha the Movie 3: Swords of an Honorable Ruler;Toshiya Shinohara;99.0;Action & Adventure, International;9.85;349.0;Medium Duration
InuYasha the Movie 4: Fire on the Mystic Island;Toshiya Shinohara;88.0;Action & Adventure, International;9.15;207.0;Medium Duration
InuYasha the Movie: Affections Touching Across Time;Toshiya Shinohara;100.0;Action & Adventure, International;9.2;213.0;Medium Duration
Naruto Shippuden the Movie: Blood Prison;Masahiko Murata;102.0;Action & Adventure, International;9.6;249.0;Medium Duration
Naruto Shippûden the Movie: Bonds;Hajime Kamegaki;93.0;Action & Adventure, International;9.79;151.0;Medium Duration
Naruto Shippûden the Movie: The Will of Fire;Masahiko Murata;96.0;Action & Adventure, International;8.92;198.0;Medium Duration
Naruto Shippuden: The Movie;Hajime Kamegaki;95.0;Action & Adventure, International;8.24;193.0;Medium Duration
Naruto Shippuden: The Movie: The Lost Tower;Masahiko Murata;85.0;Action & Adventure, International;9.56;307.0;Medium Duration
Naruto the Movie 2: Legend of the Stone of Gelel;Hirotsugu Kawasaki;97.0;Action & Adventure, International;9.52;158.0;Medium Duration
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom;Toshiyuki Tsuru;95.0;Action & Adventure, International;9.96;171.0;Medium Duration
Naruto the Movie: Ninja Clash in the Land of Snow;Tensai Okamura;83.0;Action & Adventure, International;8.33;252.0;Medium Duration
Schumacher;Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech;113.0;International;8.8;304.0;Medium Duration
King of Boys;Kemi Adetiba;182.0;Drama, International;8.13;391.0;High Duration
Little Singham - Black Shadow;Prakash Satam;48.0;Comedy;9.77;200.0;Low Duration
Tughlaq Durbar;Delhiprasad Deenadayalan;145.0;Comedy, Drama, International;8.9;202.0;High Duration
Tughlaq Durbar (Telugu);Delhiprasad Deenadayalan;145.0;Comedy, Drama, International;8.39;322.0;High Duration
Kate;Cedric Nicolas-Troyan;106.0;Action & Adventure;9.17;276.0;Medium Duration
Omo Ghetto: the Saga;JJC Skillz, Funke Akindele;147.0;Action & Adventure, Comedy, Drama;8.21;386.0;High Duration
Prey;Thomas Sieben;87.0;International, Thriller;8.73;193.0;Medium Duration
Paradise Hills;Alice Waddington;95.0;Sci-Fi & Fantasy, Thriller;9.2;360.0;Medium Duration
The Women and the Murderer;Mona Achache, Patricia Tourancheau;92.0;International;8.28;266.0;Medium Duration
JJ+E;Alexis Almström;91.0;Drama, International, Romantic;9.12;218.0;Medium Duration
Show Dogs;Raja Gosnell;90.0;Comedy;8.91;283.0;Medium Duration
