title;director;duration;listed_in;rating;times_rated;duration_category
Blood & Water;;2;International, Drama;8.26;208;Medium Duration
Ganglands;Julien Leclercq;1;International, Action & Adventure;9.56;306;Low Duration
Kota Factory;;2;International, Romantic, Comedy;8.65;398;Medium Duration
Midnight Mass;Mike Flanagan;1;Drama, Horror;9.56;378;Low Duration
Vendetta: Truth, Lies and The Mafia;;1;International;8.89;251;Low Duration
Bangkok Breaking;Kongkiat Komesiri;1;International, Action & Adventure;8.12;347;Low Duration
Dear White People;;4;Comedy, Drama;8.41;380;Medium Duration
Falsa identidad;;2;Drama;9.44;293;Medium Duration
Jaguar;;1;International, Action & Adventure;9.65;398;Low Duration
Monsters Inside: The 24 Faces of Billy Milligan;Olivier Megaton;1;International;8.2;157;Low Duration
Resurrection: Ertugrul;;5;International, Action & Adventure, Drama;8.25;270;High Duration
Love on the Spectrum;;2;International;9.2;324;Medium Duration
Chicago Party Aunt;;1;Comedy;9.44;211;Low Duration
Sex Education;;3;International, Comedy;9.82;346;Medium Duration
Squid Game;;1;International, Drama, Thriller;8.22;252;Low Duration
Angry Birds;;1;Comedy;8.06;284;Low Duration
He-Man and the Masters of the Universe;;1;Sci-Fi & Fantasy;8.75;210;Low Duration
The Smart Money Woman;Bunmi Ajakaiye;1;International, Romantic, Comedy;8.19;304;Low Duration
Castle and Castle;;2;International, Drama;8.54;256;Medium Duration
Dharmakshetra;;1;International, Drama, Sci-Fi & Fantasy;8.74;269;Low Duration
Raja Rasoi Aur Anya Kahaniyan;;1;International;8.28;374;Low Duration
Saved by the Bell;;9;Comedy;9.7;201;High Duration
Stories by Rabindranath Tagore;;1;International, Drama;8.45;159;Low Duration
Too Hot To Handle: Latino;;1;International, Romantic;9.12;381;Low Duration
Jack Whitehall: Travels with My Father;;5;International;8.58;318;High Duration
Yowamushi Pedal;;1;International;9.24;199;Low Duration
Lucifer;;6;Comedy, Drama;9.69;351;High Duration
Into the Night;;2;International, Drama;9.85;232;Medium Duration
Kid Cosmic;;2;Comedy, Sci-Fi & Fantasy;8.73;384;Medium Duration
On the Verge;;1;Comedy, Drama;9.66;280;Low Duration
Bunk'd;;5;Comedy;9.16;218;High Duration
Dive Club;;1;Drama;8.11;259;Low Duration
La casa de papel;;5;International;8.14;262;High Duration
Money Heist: From Tokyo to Berlin;Luis Alfaro, Javier Gómez Santander;1;International;9.13;244;Low Duration
Heroes of Goo Jit Zu;;1;Comedy;8.48;243;Low Duration
Hotel Del Luna;;1;International, Romantic, Comedy;9.32;392;Low Duration
Q-Force;;1;Action & Adventure, Comedy;8.51;206;Low Duration
Brave Animated Series;;1;International, Action & Adventure, Comedy;8.56;351;Low Duration
Kuroko's Basketball;;3;International;9.08;301;Medium Duration
Major Dad;;4;Comedy;8.83;169;Medium Duration
Oldsters;;1;International;9.39;211;Low Duration
Hometown Cha-Cha-Cha;;1;International, Romantic, Comedy;8.44;370;Low Duration
The Ingenuity of the Househusband;;1;International, Comedy;9.29;337;Low Duration
Bread Barbershop;;2;Comedy;9.01;199;Medium Duration
D.P.;;1;International, Drama;8.08;201;Low Duration
Deadly Sins;;1;International, Drama;8.78;311;Low Duration
I Heart Arlo;;1;Comedy;9.78;204;Low Duration
King of Boys: The Return of the King;Kemi Adetiba;1;International, Drama;8.21;305;Low Duration
Rebellion;;2;International, Drama;8.77;166;Medium Duration
RIDE ON TIME;;3;International;9.87;195;Medium Duration
EDENS ZERO;;1;International;9.95;192;Low Duration
Family Reunion;;4;Comedy;8.23;184;Medium Duration
Clickbait;Brad Anderson;1;Drama;9.32;185;Low Duration
John of God: The Crimes of a Spiritual Healer;Mauricio Dias, Tatiana Villela;1;International;8.09;162;Low Duration
Motel Makeover;;1;International;9.06;383;Low Duration
Open Your Eyes;;1;International, Drama;8.23;278;Low Duration
Post Mortem: No One Dies in Skarnes;;1;International, Comedy, Drama;9.73;258;Low Duration
Oggy Oggy;;1;Comedy;9.38;263;Low Duration
Manifest;;3;Drama, Sci-Fi & Fantasy;9.88;244;Medium Duration
Comedy Premium League;;1;International, Comedy;9.71;375;Low Duration
Everything Will Be Fine;;1;International, Comedy;9.01;291;Low Duration
Korean Cold Noodle Rhapsody;;1;International;8.19;153;Low Duration
The Chair;;1;Comedy, Drama;8.21;368;Low Duration
The Defeated;;1;International, Drama;8.9;373;Low Duration
Rascal Does Not Dream of Bunny Girl Senpai;;1;International, Romantic;9.34;258;Low Duration
The Creative Indians;;1;International;9.56;219;Low Duration
Brand New Cherry Flavor;;1;Drama, Horror;9.61;217;Low Duration
Gone for Good;Juan Carlos Medina;1;International, Drama;9.84;304;Low Duration
Grace and Frankie;;7;Comedy, Drama;9.08;375;High Duration
The Kingdom;;1;International;9.57;366;Low Duration
Valeria;Inma Torrente;2;International, Romantic;8.29;380;Medium Duration
AlRawabi School for Girls;;1;International, Drama;8.58;335;Low Duration
I Need Romance;Sakon Tiacharoen;1;International, Romantic, Comedy;9.64;396;Low Duration
Las muñecas de la mafia;;1;International;9.74;256;Low Duration
The Crowned Clown;;1;International, Romantic, Drama;8.64;217;Low Duration
SHAMAN KING;;1;International;8.62;352;Low Duration
Hit & Run;;1;Action & Adventure, Drama;8.81;212;Low Duration
Control Z;;2;International, Drama;9.89;189;Medium Duration
Autumn's Concerto;;1;International, Romantic, Drama;9.89;341;Low Duration
Office Girls;Hsu Fu-chun;1;International, Romantic, Comedy;8.19;352;Low Duration
The Prince Who Turns into a Frog;;1;International, Romantic, Comedy;8.3;277;Low Duration
Two Fathers;;1;International, Romantic, Comedy;9.42;238;Low Duration
You're My Destiny;;1;International, Romantic, Comedy;8.6;263;Low Duration
30 Rock;;7;Comedy;9.75;177;High Duration
Darwin’s Game;;1;International, Thriller;8.49;237;Low Duration
Friday Night Lights;;5;Drama;8.49;203;High Duration
Hunter X Hunter (2011);;6;International;8.76;272;High Duration
Charmed;;3;Drama, Sci-Fi & Fantasy;8.38;192;Medium Duration
Centaurworld;;1;Comedy;8.32;323;Low Duration
Glow Up;;3;International;8.33;360;Medium Duration
Khawatir;;1;International;8.21;396;Low Duration
Outer Banks;;2;Action & Adventure, Drama;9.42;358;Medium Duration
The Flash;Glen Winter;7;Action & Adventure, Sci-Fi & Fantasy;8.28;165;High Duration
The Snitch Cartel: Origins;;1;International;9.45;154;Low Duration
All American;;3;Drama;8.38;360;Medium Duration
How to Sell Drugs Online (Fast);;3;International, Comedy;8.02;353;Medium Duration
Plastic Cup Boyz: Laughing My Mask Off!;Royale Watkins, Rich Schlansker;1;Stand-Up Comedy, Comedy;8.04;385;Low Duration
The Walking Dead;;10;Action & Adventure, Drama;8.04;393;High Duration
Wynonna Earp;;4;International, Action & Adventure, Drama;9.14;263;Medium Duration
Feels Like Ishq;;1;International, Romantic, Comedy;9.55;150;Low Duration
Masters of the Universe: Revelation;;1;Action & Adventure, Sci-Fi & Fantasy;9.09;248;Low Duration
Revelations: The Masters of the Universe: Revelation Aftershow;;1;Stand-Up Comedy;8.9;268;Low Duration
Sky Rojo;;2;International, Action & Adventure;9.0;164;Medium Duration
Chicago Med;;5;Drama;8.26;239;High Duration
Sexy Beasts;;1;International;9.56;381;Low Duration
Too Hot to Handle: Brazil;;1;International, Romantic;9.65;357;Low Duration
Okupas;;1;International;8.67;177;Low Duration
Touch Your Heart;;1;International, Romantic;8.06;344;Low Duration
